years,総額,１．食料品,食料品及び動物,飲料及びたばこ,魚介類及び同調製品,(えび(生鮮・冷蔵)),肉類及び同調製品,穀物類及び同調製品,野菜,果実,２．原料品,食料に適さない原材料,動植物性油脂,木材,非鉄金属鉱,鉄鉱石,大豆,鉱物性燃料,原油及び粗油,石油製品,(揮発油),液化天然ガス,液化石油ガス,石炭,(一般炭),化学製品,有機化合物,医薬品,原料別製品,鉄鋼,非鉄金属,金属製品,織物用糸及び繊維製品,非金属鉱物製品,木製品及びコルク製品(除家具),一般機械,原動機,(電算機類(含周辺機器)),(電算機類の部分品),電気機器,半導体等電子部品,(ＩＣ),音響・映像機器(含部品),(映像記録・再生機器),重電機器,通信機,電気計測機器,輸送用機器,自動車,自動車の部分品,航空機類,９．そのた,雑製品,特殊取扱品,科学光学機器,衣類及び同付属品,家具,バッグ類
1988,24834122626,3903901329,3614805096,289096233,1400015744,386571762,586688220,587074511,208722701,277922290,3731110424,3677446863,53663561,953956758,548741168,367201533,188101102,4855434696,2333854637,911496088,387729450,643924603,252925300,706020908,156343676,1977813174,610273002,356585647,3673209909,601178502,1251046606,171214336,520892298,559739405,291472405,1265627599,164088912,280529339,140665735,1259111263,315312066,244544878,202003321,9944333,100087693,64873246,202536534,718951273,411159201,59741123,185715558,3448962959,2599787226,849175733,176069147,930398139,139074532,108787830,
1989,30404171469,4379174728,3958601557,420573171,1384670832,353678936,716354877,665626907,236855501,316659510,4257552413,4198435723,59116690,1167565696,626948639,452860874,188939413,6463286343,3316790036,1193416240,477139561,812374831,278765993,850614393,214271215,2203445418,627223295,372352915,4327419363,701306416,1354150003,218216970,602873962,708026016,424179637,1702949874,216523503,386079179,240827607,1666469099,418112043,329452279,271431465,13209057,138487888,104284285,252678862,1189246350,698218541,86160345,314636211,4214627881,3474361540,740266341,237561989,1293840769,185090959,156503531,
1990,34171137098,4582615017,4092775009,489840008,1547934370,413283631,725986776,642698351,236316409,329620691,4018269995,3956282877,61987118,1029595283,627051774,492828738,173851969,8551790492,4873219532,1354782111,641724780,1036467905,396238310,882905601,224891325,2380072588,677500232,419136092,4484661896,686681322,1448341111,260575599,597451946,747166823,422635615,2024272495,218866235,420053687,295548733,1878585052,490543155,383699561,253376211,6980110,155843950,127157991,267549751,1563835559,908885810,115386640,420655888,4687034004,3816424134,870609870,275243992,1246649853,208817460,193349170,
1991,30970419633,4696536466,4196401520,500134946,1610824962,396088973,742382129,601728132,262156619,347708445,3590753507,3524459222,66294285,969779699,504449117,478174316,158250118,6641421262,3518421548,946066572,504146569,970719221,347188267,849570839,237990587,2295496828,626092802,431380238,4116255738,687950839,1165195772,269223082,580774242,642603578,450856969,1947576107,203512194,424591066,311975076,1982051911,524815143,402430153,318197174,8205777,174604225,124313390,253212926,1405585768,681070436,129587375,488809010,4294742046,3516811125,777930921,302869125,1299207278,222899502,203865528,
1992,29225046504,4662318623,4174765570,487553053,1590851828,372515391,801508349,581606217,268573871,331383186,3254433824,3185291391,69142433,1005127954,446145909,391000693,153606813,6676518426,3876437011,783229753,436799467,914481727,342056923,753573828,214094472,2181023778,594013342,468814743,3347565959,479746469,882337679,242496169,503968429,528911802,410114480,1814244873,201305662,407786638,330550429,1864013986,521897417,405071420,314454240,10412101,161607541,111139290,225375723,1241927781,629325648,131831966,390293326,4182999254,3541818793,641180461,304979137,1410735411,207476648,210875489,
1993,26449917445,4436697049,3992160067,444536982,1526546554,354589739,770311779,556552743,284293106,301447999,2936761267,2881109059,55652208,1100387078,324950378,319852290,157726407,5065331854,2888057350,516895654,276151815,757390361,272351602,621982662,182259271,1948760584,543792423,423572805,3088070778,432596169,702144466,227280789,447755726,491863356,506105489,1702750617,198108072,485560098,289774505,2032365173,627701081,505409305,349497464,12431580,167000301,150618720,215759153,1137759053,606381850,112687421,333850587,4101421070,3546432721,554988349,313766754,1419651736,221469297,217579041,
1994,28988814347,4760565733,4273873200,486692533,1647861395,380791006,800795985,597187792,310004094,311953600,3002254500,2932168541,70085959,1008242579,367749257,296924613,132954145,5036816534,2928097378,524712867,310350708,709943517,279204249,585247608,190896535,2167951850,640561949,449734129,3481714232,452338301,906148017,256098718,541759616,546676192,481904442,1960160769,198102530,618487597,356048226,2527784547,794849130,665364204,461924882,30568897,201942924,215734477,237150552,1375532763,818852844,120296342,334654751,4676033419,4003275123,672758296,379362620,1593090439,272172381,248735473,
1995,32952956132,4859319107,4386431456,472887651,1624272529,357792915,902990322,552796229,312948360,306855462,3087438113,3009227259,78210854,919986587,452385264,299219833,143646329,5261917819,2901694117,619626229,346169588,752994747,325217568,651906069,244773456,2320036994,682143104,455519669,3946716149,530575193,998715528,314655176,577511431,614408916,571283185,2885536287,225010688,1102087510,531365389,3651466697,1328935572,1188693427,606704349,62362561,262128696,338127124,286521966,1540843933,1019581666,142037969,263120246,5399681033,4721980661,677700372,549926011,1851424818,302210282,295596532,
1996,39671661069,5691162997,5187733194,503429803,1884306999,384392137,1022526371,752559108,360917615,347999247,3484112852,3389239967,94872885,1149960584,454122968,354072879,185488224,7131066876,3961453800,890006642,523406373,1038262804,450985903,776064731,283880094,2633921638,747773371,513055687,4392289531,500004773,1038043291,389935337,678915987,654107230,748991032,3721789983,288438976,1426075422,672726962,4367149305,1409462058,1234163827,749177752,85303812,343614575,457502294,343087997,1800453593,1150329463,189730139,327231847,6449714294,5741902158,707812136,766951320,2152618672,381643438,332961680,
1997,39961467071,5505070522,4960232085,544838437,1775751211,387839822,907155001,672682069,368886651,339785523,3360097987,3258478679,101619308,906320596,474221083,403037863,213559704,7026872443,3870777422,732563052,542370648,1138358346,426390113,835837452,302259962,2852566998,812972912,492827587,4528935909,534557799,1248177371,407271504,671580405,591824974,696258465,3960885965,365225238,1386313929,755911347,4658414339,1553801181,1328112790,708967040,82590490,383563186,427422712,389324431,1790011566,882387556,215587152,555648534,6278611342,5605380432,673230910,854003874,1984005020,382513140,319623805,
1998,35393750969,5342176265,4726385320,615790945,1645298569,352665560,899461936,601358352,409857359,354573442,2731593081,2630240928,101352153,612852203,400363468,378279163,168895014,5135659285,2617738465,514543329,374493711,935547289,310722552,743894002,274517491,2667061502,751058720,495429377,3635417779,368688284,956838961,375274071,538166968,506763190,547582418,3786092293,391415243,1293138247,811457029,4418213998,1374641967,1185751264,691008210,84721021,384080039,452163122,377509543,1784803759,710901977,206070602,737049545,5892733007,5186433839,706299168,816796544,1847682944,338680969,299351702,
