years	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
総額	24834122626	30404171469	34171137098	30970419633	29225046504	26449917445	28988814347	32952956132	39671661069	39961467071	35393750969	36451615689	42449370014	41509070870	43067101678	44855180763	50385781365	60511291698	68447346002	74958073268	71910441654	53820851871	62456703759	69710574402	72097764942	84612856114	83809850425
１．食料品	3903901329	4379174728	4582615017	4696536466	4662318623	4436697049	4760565733	4859319107	5691162997	5505070522	5342176265	5027785187	5012347372	5288772912	5211275541	5140552860	5328987832	5652176833	5797820711	6038211792	5991819718	4973817711	5313864494	5948993108	5954695134	6514051784	6856664839
食料品及び動物	3614805096	3958601557	4092775009	4196401520	4174765570	3992160067	4273873200	4386431456	5187733194	4960232085	4726385320	4481468471	4488459427	4738705755	4659325157	4588526961	4792515438	5000391516	5113901449	5362883212	5351549506	4396166054	4744511629	5197138896	5225294557	5770083766	6134744259
飲料及びたばこ	289096233	420573171	489840008	500134946	487553053	444536982	486692533	472887651	503429803	544838437	615790945	546316716	523887945	550067157	551950384	552025899	536472394	651785317	683919262	675328580	640270212	577651657	569352865	751854212	729400577	743968018	721920580
魚介類及び同調製品	1400015744	1384670832	1547934370	1610824962	1590851828	1526546554	1647861395	1624272529	1884306999	1775751211	1645298569	1644967572	1652008918	1612689921	1639353367	1490904160	1543815140	1558745782	1582283473	1479818030	1386299124	1197598626	1285871396	1393504372	1381846607	1486086717	1541941519
(えび(生鮮・冷蔵))	386571762	353678936	413283631	396088973	372515391	354589739	380791006	357792915	384392137	387839822	352665560	303221311	326540429	291183351	286456027	252858034	235949732	232414340	247314237	221466861	193339329	171826430	183827619	186111376	181179488	232853023	217101616
肉類及び同調製品	586688220	716354877	725986776	742382129	801508349	770311779	800795985	902990322	1022526371	907155001	899461936	916063021	934816062	1032220133	944431445	982333318	1021278793	1079021307	978654612	1017444679	1070579963	876080721	997697428	1080264543	1064334851	1185509425	1373010127
穀物類及び同調製品	587074511	665626907	642698351	601728132	581606217	556552743	597187792	552796229	752559108	672682069	601358352	495608371	502307185	566022156	576222261	619356284	656334303	641544719	728049338	968627071	1113155017	734626556	731996637	891608947	876591942	930959511	900415900
野菜	208722701	236855501	236316409	262156619	268573871	284293106	310004094	312948360	360917615	368886651	409857359	373359857	366610075	390280899	364839070	365384289	386051778	404936309	425579213	403444358	357088712	345309543	377586136	396427364	432040988	499852788	507631058
果実	277922290	316659510	329620691	347708445	331383186	301447999	311953600	306855462	347999247	339785523	354573442	355861262	341197709	355797694	360642103	357604381	369596831	385533708	406597917	413413607	390815222	346905363	357299400	382141810	409392867	462388739	487899060
２．原料品	3731110424	4257552413	4018269995	3590753507	3254433824	2936761267	3002254500	3087438113	3484112852	3360097987	2731593081	2561937904	2668452828	2526951939	2579583097	2700252394	3141953016	3809494544	5000355676	5621275715	5037255012	3588866194	5053078792	5208431356	4767888510	5531141728	5540406955
食料に適さない原材料	3677446863	4198435723	3956282877	3524459222	3185291391	2881109059	2932168541	3009227259	3389239967	3258478679	2630240928	2484456440	2600395273	2453541843	2497381845	2609253540	3034895880	3691333534	4879430008	5464913568	4857161991	3466744150	4911031987	5042109978	4612235349	5360976932	5344498351
動植物性油脂	53663561	59116690	61987118	66294285	69142433	55652208	70085959	78210854	94872885	101619308	101352153	77481464	68057555	73410096	82201252	90998854	107057136	118161010	120925668	156362147	180093021	122122044	142046805	166321378	155653161	170164796	195908604
木材	953956758	1167565696	1029595283	969779699	1005127954	1100387078	1008242579	919986587	1149960584	906320596	612852203	659240095	637408363	568146129	564939757	535553763	569292953	529474581	598502860	503110010	415153386	269692590	339226486	346995254	335036732	482077050	413080299
非鉄金属鉱	548741168	626948639	627051774	504449117	446145909	324950378	367749257	452385264	454122968	474221083	400363468	396336894	457337363	413097725	452842516	530965539	789808068	1157331133	1814411922	2062516738	1421958401	1180645311	1488040160	1293959952	1339114453	1413159898	1567223528
鉄鉱石	367201533	452860874	492828738	478174316	391000693	319852290	296924613	299219833	354072879	403037863	378279163	322761108	358224266	376724200	380025514	387976107	441628676	687007331	878274250	1069515141	1327799894	812476389	1513215451	1745957333	1460219420	1775045278	1583413011
大豆	188101102	188939413	173851969	158250118	153606813	157726407	132954145	143646329	185488224	213559704	168895014	131953391	137639515	143513621	159954736	176197312	185475280	157626084	153210414	208477342	226309054	163420045	158249075	138718573	153360241	192304099	202363124
鉱物性燃料	4855434696	6463286343	8551790492	6641421262	6676518426	5065331854	5036816534	5261917819	7131066876	7026872443	5135659285	6476689750	8630796784	8107487946	8954092596	9078524386	11221614734	16308096062	18446600027	22244065922	24482197857	15259513207	18143792414	23132072959	24668246111	28413078810	25119014545
原油及び粗油	2333854637	3316790036	4873219532	3518421548	3876437011	2888057350	2928097378	2901694117	3961453800	3870777422	2617738465	3644184587	4930825798	4434741768	5150342420	5132056254	6361866307	9988562660	11364365600	13693224328	13639520230	8587446574	9755883197	11893779541	12525528297	14826428941	11859064316
石油製品	911496088	1193416240	1354782111	946066572	783229753	516895654	524712867	619626229	890006642	732563052	514543329	762207008	998595888	807830532	920989888	985574518	1249642069	1641011955	1804318256	2120360829	2001379495	1337014965	1707225502	2347305043	2606342237	2712320469	2418185330
(揮発油)	387729450	477139561	641724780	504146569	436799467	276151815	310350708	346169588	523406373	542370648	374493711	519932265	678716108	587846533	658162899	721941244	946903459	1165726099	1439532500	1644621141	1383660468	1064784166	1290023399	1504109303	1586304468	1866689594	1767274727
液化天然ガス	643924603	812374831	1036467905	970719221	914481727	757390361	709943517	752994747	1038262804	1138358346	935547289	1058199219	1497694829	1556402396	1545540083	1640449709	1725786518	2166145709	2729928587	3474897716	4498022756	2855171701	3549215813	5404383719	6214120485	7342443798	7776701958
液化石油ガス	252925300	278765993	396238310	347188267	342056923	272351602	279204249	325217568	450985903	426390113	310722552	397867383	562193600	496291972	534013525	506198028	587220558	820747823	894485046	1094470100	994144771	643803660	828348421	928013561	1064485169	1118504971	940007080
石炭	706020908	850614393	882905601	849570839	753573828	621982662	585247608	651906069	776064731	835837452	743894002	595657682	614968073	790700179	772522916	758307981	1196332662	1624618954	1607881093	1783509995	3255192871	1815794255	2261523292	2525025987	2223063479	2343458648	2038390075
(一般炭)	156343676	214271215	224891325	237990587	214094472	182259271	190896535	244773456	283880094	302259962	274517491	238321647	257482357	353955899	334463966	339222771	548354315	653451651	659829186	840053839	1324199090	828172953	1030958520	1152934077	1114528566	1202299529	1113707899
化学製品	1977813174	2203445418	2380072588	2295496828	2181023778	1948760584	2167951850	2320036994	2633921638	2852566998	2667061502	2646144564	3004583808	3061626016	3311610242	3534133336	3916171731	4471280587	5096308606	5517689015	5408045697	4826022407	5465305021	6117303288	6042509811	6613621548	6980656406
有機化合物	610273002	627223295	677500232	626092802	594013342	543792423	640561949	682143104	747773371	812972912	751058720	744694425	846901846	885966526	947860646	1009994762	1114032004	1225698264	1391849078	1478092316	1424337662	1280301428	1339825429	1445726487	1436134647	1511028543	1573058028
医薬品	356585647	372352915	419136092	431380238	468814743	423572805	449734129	455519669	513055687	492827587	495429377	513193672	544458531	628557700	689455489	738593936	782022983	928060677	1024142986	1091451660	1177162711	1419444402	1523954309	1769875074	2019059148	2155817821	2276125468
原料別製品	3673209909	4327419363	4484661896	4116255738	3347565959	3088070778	3481714232	3946716149	4392289531	4528935909	3635417779	3651970030	4034604658	3772231099	3873947976	4181636859	5041151401	5599016890	6875964834	7332458426	6688242527	4521496572	5555382943	6011432801	5526613620	6576823746	7086901667
鉄鋼	601178502	701306416	686681322	687950839	479746469	432596169	452338301	530575193	500004773	534557799	368688284	350338988	397691662	307759841	319120366	413853246	686277876	758920177	830982618	964723704	1121766914	500362206	811382877	951644621	767061521	887430852	955080886
非鉄金属	1251046606	1354150003	1448341111	1165195772	882337679	702144466	906148017	998715528	1038043291	1248177371	956838961	1013433243	1200506146	935405022	940606274	1048549724	1374703211	1572109505	2326321409	2618637421	2147252362	1146086470	1673583523	1708616745	1373919139	1590726606	1753891064
金属製品	171214336	218216970	260575599	269223082	242496169	227280789	256098718	314655176	389935337	407271504	375274071	356485943	409581841	461517062	498864152	539739541	624902278	762241243	925604774	990787967	914467048	721798497	773258259	821526781	874402244	1068044983	1222559750
織物用糸及び繊維製品	520892298	602873962	597451946	580774242	503968429	447755726	541759616	577511431	678915987	671580405	538166968	516776084	539057147	569406773	565020589	582269446	605772991	658613743	718486462	731081693	682983887	630990800	647565554	730150765	726796627	888932184	948098724
非金属鉱物製品	559739405	708026016	747166823	642603578	528911802	491863356	546676192	614408916	654107230	591824974	506763190	515920949	536635532	537207641	551617839	558022318	601018508	668723633	721725512	715367546	625597325	502482861	551146475	568904248	588475349	719022434	743158612
