"年","WTI","ドバイ","ブレント"
"1980","37.88","35.85","37.89"
"1981","36.17","34.29","36.68"
"1982","32.67","31.76","33.42"
"1983","30.60","28.47","29.78"
"1984","29.39","27.51","28.74"
"1985","27.99","26.51","27.61"
"1986","15.02","13.06","14.43"
"1987","19.19","16.96","18.44"
"1988","15.97","13.36","14.98"
"1989","19.69","15.78","18.25"
"1990","24.52","20.73","23.71"
"1991","21.51","16.61","19.98"
"1992","20.56","17.14","19.41"
"1993","18.46","14.91","17.00"
"1994","17.18","14.83","15.83"
"1995","18.43","16.13","17.06"
"1996","22.13","18.54","20.45"
"1997","20.59","18.10","19.12"
"1998","14.42","12.09","12.72"
"1999","19.17","17.08","17.70"
"2000","30.32","26.09","28.31"
"2001","25.87","22.71","24.41"
"2002","26.12","23.73","25.00"
"2003","31.10","26.73","28.85"
"2004","41.45","33.46","38.30"
"2005","56.44","49.20","54.43"
"2006","66.05","61.43","65.39"
"2007","72.29","68.37","72.71"
"2008","99.59","93.78","97.66"
"2009","61.69","61.76","61.86"
"2010","79.40","78.06","79.63"
"2011","95.05","106.03","110.95"
"2012","94.14","108.92","111.96"
"2013","97.94","105.43","108.85"
"2014","93.13","96.66","98.94"
"2015","50.08","54.02","55.38"
